,position,body_x,body_y,body_z,targetx,targety,thetax,thetay,velocity,acceleration,omega,alphas
406,"v = ( -35.2903, -44.1229, 77.1797 ) 	|v| = 95.6502","v = ( 0.9163, 0.1707, 0.3623 ) 	|v| = 1.0000","v = ( -0.3806, 0.0900, 0.9203 ) 	|v| = 1.0000","v = ( 0.1245, -0.9812, 0.1474 ) 	|v| = 1.0000",0.00690957862306292,0.008218552482838853,0.007073597873619006,0.008122330494366245,"v = ( -20.3538, -29.1112, 24.8625 ) 	|v| = 43.3576","v = ( 0.5864, 0.8387, -10.5192 ) 	|v| = 10.5688","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
407,"v = ( -35.4939, -44.4140, 77.4284 ) 	|v| = 96.0603","v = ( 0.9157, 0.1755, 0.3615 ) 	|v| = 1.0000","v = ( -0.3796, 0.0820, 0.9215 ) 	|v| = 1.0000","v = ( 0.1321, -0.9811, 0.1417 ) 	|v| = 1.0000",0.0067387404526094,0.00830666375224877,0.00690957862306292,0.008218552482838853,"v = ( -20.3480, -29.1028, 24.7574 ) 	|v| = 43.2890","v = ( 0.5853, 0.8372, -10.5150 ) 	|v| = 10.5645","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
408,"v = ( -35.6974, -44.7050, 77.6759 ) 	|v| = 96.4697","v = ( 0.9150, 0.1803, 0.3609 ) 	|v| = 1.0000","v = ( -0.3784, 0.0739, 0.9227 ) 	|v| = 1.0000","v = ( 0.1397, -0.9808, 0.1359 ) 	|v| = 1.0000",0.006561251958907147,0.00838657734741089,0.0067387404526094,0.00830666375224877,"v = ( -20.3422, -29.0944, 24.6523 ) 	|v| = 43.2206","v = ( 0.5842, 0.8356, -10.5108 ) 	|v| = 10.5602","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
409,"v = ( -35.9008, -44.9960, 77.9225 ) 	|v| = 96.8784","v = ( 0.9143, 0.1851, 0.3602 ) 	|v| = 1.0000","v = ( -0.3773, 0.0659, 0.9238 ) 	|v| = 1.0000","v = ( 0.1473, -0.9805, 0.1301 ) 	|v| = 1.0000",0.006377288301671001,0.008458214403254866,0.006561251958907147,0.00838657734741089,"v = ( -20.3363, -29.0861, 24.5472 ) 	|v| = 43.1524","v = ( 0.5831, 0.8340, -10.5067 ) 	|v| = 10.5559","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
410,"v = ( -36.1041, -45.2868, 78.1679 ) 	|v| = 97.2863","v = ( 0.9136, 0.1900, 0.3596 ) 	|v| = 1.0000","v = ( -0.3760, 0.0579, 0.9248 ) 	|v| = 1.0000","v = ( 0.1549, -0.9801, 0.1243 ) 	|v| = 1.0000",0.006187031030820466,0.008521504222655426,0.006377288301671001,0.008458214403254866,"v = ( -20.3305, -29.0778, 24.4422 ) 	|v| = 43.0844","v = ( 0.5821, 0.8325, -10.5026 ) 	|v| = 10.5516","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
411,"v = ( -36.3074, -45.5776, 78.4124 ) 	|v| = 97.6936","v = ( 0.9128, 0.1948, 0.3590 ) 	|v| = 1.0000","v = ( -0.3747, 0.0499, 0.9258 ) 	|v| = 1.0000","v = ( 0.1624, -0.9796, 0.1185 ) 	|v| = 1.0000",0.005990667907311808,0.008576384346201905,0.006187031030820466,0.008521504222655426,"v = ( -20.3247, -29.0694, 24.3372 ) 	|v| = 43.0166","v = ( 0.5810, 0.8309, -10.4985 ) 	|v| = 10.5473","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
412,"v = ( -36.5107, -45.8683, 78.6557 ) 	|v| = 98.1002","v = ( 0.9120, 0.1996, 0.3584 ) 	|v| = 1.0000","v = ( -0.3734, 0.0418, 0.9267 ) 	|v| = 1.0000","v = ( 0.1699, -0.9790, 0.1127 ) 	|v| = 1.0000",0.0057883927178407355,0.00862280061383811,0.005990667907311808,0.008576384346201905,"v = ( -20.3189, -29.0612, 24.2322 ) 	|v| = 42.9489","v = ( 0.5799, 0.8294, -10.4944 ) 	|v| = 10.5431","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
413,"v = ( -36.7139, -46.1589, 78.8981 ) 	|v| = 98.5061","v = ( 0.9111, 0.2044, 0.3579 ) 	|v| = 1.0000","v = ( -0.3720, 0.0338, 0.9276 ) 	|v| = 1.0000","v = ( 0.1775, -0.9783, 0.1068 ) 	|v| = 1.0000",0.005580405083598287,0.00866070721831179,0.0057883927178407355,0.00862280061383811,"v = ( -20.3131, -29.0529, 24.1273 ) 	|v| = 42.8815","v = ( 0.5788, 0.8279, -10.4903 ) 	|v| = 10.5388","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
414,"v = ( -36.9170, -46.4495, 79.1393 ) 	|v| = 98.9113","v = ( 0.9102, 0.2092, 0.3574 ) 	|v| = 1.0000","v = ( -0.3705, 0.0258, 0.9285 ) 	|v| = 1.0000","v = ( 0.1850, -0.9775, 0.1010 ) 	|v| = 1.0000",0.005366910263268787,0.008690066750380854,0.005580405083598287,0.00866070721831179,"v = ( -20.3073, -29.0446, 24.0225 ) 	|v| = 42.8142","v = ( 0.5777, 0.8263, -10.4862 ) 	|v| = 10.5346","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
415,"v = ( -37.1201, -46.7399, 79.3796 ) 	|v| = 99.3158","v = ( 0.9093, 0.2140, 0.3569 ) 	|v| = 1.0000","v = ( -0.3689, 0.0178, 0.9293 ) 	|v| = 1.0000","v = ( 0.1925, -0.9767, 0.0951 ) 	|v| = 1.0000",0.00514811895046437,0.008710850235731765,0.005366910263268787,0.008690066750380854,"v = ( -20.3016, -29.0364, 23.9176 ) 	|v| = 42.7471","v = ( 0.5767, 0.8248, -10.4822 ) 	|v| = 10.5304","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
416,"v = ( -37.3231, -47.0303, 79.6187 ) 	|v| = 99.7196","v = ( 0.9084, 0.2187, 0.3564 ) 	|v| = 1.0000","v = ( -0.3673, 0.0098, 0.9300 ) 	|v| = 1.0000","v = ( 0.1999, -0.9757, 0.0893 ) 	|v| = 1.0000",0.0049242470657957765,0.008723037163573703,0.00514811895046437,0.008710850235731765,"v = ( -20.2958, -29.0281, 23.8129 ) 	|v| = 42.6803","v = ( 0.5756, 0.8233, -10.4781 ) 	|v| = 10.5262","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
417,"v = ( -37.5261, -47.3206, 79.8569 ) 	|v| = 100.1227","v = ( 0.9074, 0.2235, 0.3560 ) 	|v| = 1.0000","v = ( -0.3657, 0.0019, 0.9307 ) 	|v| = 1.0000","v = ( 0.2074, -0.9747, 0.0834 ) 	|v| = 1.0000",0.00469551554378481,0.008726615506880232,0.0049242470657957765,0.008723037163573703,"v = ( -20.2901, -29.0199, 23.7081 ) 	|v| = 42.6136","v = ( 0.5745, 0.8217, -10.4741 ) 	|v| = 10.5220","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
418,"v = ( -37.7290, -47.6108, 80.0939 ) 	|v| = 100.5251","v = ( 0.9063, 0.2283, 0.3556 ) 	|v| = 1.0000","v = ( -0.3639, -0.0061, 0.9314 ) 	|v| = 1.0000","v = ( 0.2148, -0.9736, 0.0775 ) 	|v| = 1.0000",0.004462150114828575,0.00872158173425853,0.00469551554378481,0.008726615506880232,"v = ( -20.2843, -29.0117, 23.6034 ) 	|v| = 42.5471","v = ( 0.5735, 0.8202, -10.4701 ) 	|v| = 10.5178","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
419,"v = ( -37.9318, -47.9009, 80.3300 ) 	|v| = 100.9268","v = ( 0.9052, 0.2331, 0.3553 ) 	|v| = 1.0000","v = ( -0.3621, -0.0141, 0.9320 ) 	|v| = 1.0000","v = ( 0.2222, -0.9724, 0.0717 ) 	|v| = 1.0000",0.004224381082430918,0.008707940813434439,0.004462150114828575,0.00872158173425853,"v = ( -20.2786, -29.0035, 23.4988 ) 	|v| = 42.4808","v = ( 0.5724, 0.8187, -10.4661 ) 	|v| = 10.5137","v = ( 0.5632, 0.1839, 0.7480 ) 	|v| = 0.9542","v = ( -0.0000, 0.0000, -0.0000 ) 	|v| = 0.0000"
