,position,heading,targetx,targety,thetax,thetay,velocity,acceleration,omega
33,"v = ( 0.0000, 0.0000, 0.0761 ) 	|v| = 0.0761","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 1.5289 ) 	|v| = 1.5289","v = ( 0.0000, 0.0000, 16.3246 ) 	|v| = 16.3246","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
34,"v = ( 0.0000, 0.0000, 0.0914 ) 	|v| = 0.0914","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 1.7048 ) 	|v| = 1.7048","v = ( 0.0000, 0.0000, 17.5921 ) 	|v| = 17.5921","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
35,"v = ( 0.0000, 0.0000, 0.1084 ) 	|v| = 0.1084","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 1.8934 ) 	|v| = 1.8934","v = ( 0.0000, 0.0000, 18.8601 ) 	|v| = 18.8601","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
36,"v = ( 0.0000, 0.0000, 0.1274 ) 	|v| = 0.1274","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 2.1011 ) 	|v| = 2.1011","v = ( 0.0000, 0.0000, 20.7648 ) 	|v| = 20.7648","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
37,"v = ( 0.0000, 0.0000, 0.1484 ) 	|v| = 0.1484","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 2.3185 ) 	|v| = 2.3185","v = ( 0.0000, 0.0000, 21.7449 ) 	|v| = 21.7449","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
38,"v = ( 0.0000, 0.0000, 0.1716 ) 	|v| = 0.1716","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 2.5458 ) 	|v| = 2.5458","v = ( 0.0000, 0.0000, 22.7253 ) 	|v| = 22.7253","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
39,"v = ( 0.0000, 0.0000, 0.1970 ) 	|v| = 0.1970","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 2.8268 ) 	|v| = 2.8268","v = ( 0.0000, 0.0000, 28.1013 ) 	|v| = 28.1013","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
40,"v = ( 0.0000, 0.0000, 0.2253 ) 	|v| = 0.2253","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 3.1025 ) 	|v| = 3.1025","v = ( 0.0000, 0.0000, 27.5676 ) 	|v| = 27.5676","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
41,"v = ( 0.0000, 0.0000, 0.2563 ) 	|v| = 0.2563","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 3.3728 ) 	|v| = 3.3728","v = ( 0.0000, 0.0000, 27.0335 ) 	|v| = 27.0335","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
42,"v = ( 0.0000, 0.0000, 0.2900 ) 	|v| = 0.2900","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 3.6494 ) 	|v| = 3.6494","v = ( 0.0000, 0.0000, 27.6599 ) 	|v| = 27.6599","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
43,"v = ( 0.0000, 0.0000, 0.3265 ) 	|v| = 0.3265","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 3.9186 ) 	|v| = 3.9186","v = ( 0.0000, 0.0000, 26.9218 ) 	|v| = 26.9218","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
44,"v = ( 0.0000, 0.0000, 0.3657 ) 	|v| = 0.3657","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 4.1805 ) 	|v| = 4.1805","v = ( 0.0000, 0.0000, 26.1832 ) 	|v| = 26.1832","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
45,"v = ( 0.0000, 0.0000, 0.4075 ) 	|v| = 0.4075","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 4.4349 ) 	|v| = 4.4349","v = ( 0.0000, 0.0000, 25.4441 ) 	|v| = 25.4441","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
46,"v = ( 0.0000, 0.0000, 0.4519 ) 	|v| = 0.4519","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 4.6820 ) 	|v| = 4.6820","v = ( 0.0000, 0.0000, 24.7047 ) 	|v| = 24.7047","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
